budget,id,popularity,revenue,runtime,vote_average,vote_count
90000000,291805,51.535701,334901337,129.0,6.7,3235
68000000,10003,20.913852,118063304,116.0,5.9,302
92000000,1535,27.166757,143049560,126.0,6.8,579
90000000,2067,16.058284,60874615,114.0,5.7,369
90000000,46195,46.200042,484635760,96.0,6.5,2166
100000000,2277,24.939295,93700000,131.0,6.9,963
90000000,10357,19.836124,0,104.0,5.2,376
90000000,4477,15.350451,140807547,107.0,5.9,290
100000000,8665,15.625949,35168966,138.0,6.1,264
20000000,9387,31.802807,79114085,129.0,6.6,650
88000000,921,24.100863,108539911,144.0,7.3,616
90000000,49852,3.593349,16178959,110.0,5.4,50
87000000,4464,14.824166,148336445,141.0,6.7,216
92000000,664,32.079995,494471524,113.0,6.1,950
90000000,8358,57.739713,429632142,143.0,7.5,3218
100000000,9836,37.272385,384335608,108.0,5.9,1410
75000000,2502,53.213931,288500217,108.0,7.2,2825
85000000,9772,36.38795,315156409,124.0,6.2,840
85000000,161,60.929352,450717150,116.0,7.2,3783
75000000,52451,36.605246,132274484,110.0,5.6,924
85000000,76492,56.257411,358375603,91.0,6.8,2566
85000000,4523,29.21998,340487652,107.0,6.6,1449
85000000,59961,34.773106,208076205,115.0,6.3,1345
85000000,10481,9.895061,183611771,100.0,5.1,313
75000000,59108,36.743324,152930623,104.0,5.8,932
85000000,1581,44.967453,194168700,136.0,6.7,1225
90000000,9798,41.207568,250649836,132.0,6.7,1240
85000000,22897,16.479851,219103655,121.0,6.2,360
85000000,298,42.069993,311312624,122.0,6.5,1999
85000000,7484,26.61951,197309027,83.0,6.1,656
85000000,157350,80.316463,288747895,139.0,6.9,4663
68000000,853,41.273567,96976270,131.0,7.2,999
85000000,10159,24.107835,80916492,104.0,6.4,514
85000000,9593,32.044191,137298489,130.0,6.1,712
85000000,1904,16.595874,162242962,145.0,7.3,652
85000000,9615,8.282876,158468292,104.0,6.1,1705
0,51052,19.83683,0,97.0,6.7,333
90000000,297,36.069611,142940100,178.0,6.9,1147
85000000,9884,18.827753,78382433,108.0,5.5,427
0,16858,5.159407,37823676,123.0,7.3,85
85000000,62764,48.126297,183018522,106.0,5.5,1114
60000000,22538,38.885195,47664559,112.0,7.2,2126
60000000,9341,29.211255,74208267,136.0,5.4,516
84000000,12107,17.783361,123307945,106.0,4.7,332
84000000,9637,31.435539,275650703,88.0,5.4,820
50000000,49049,57.673932,41037742,95.0,6.6,1940
82500000,9339,41.176631,237681299,107.0,6.0,2104
8000000,16281,13.661289,21028755,120.0,6.7,226
85000000,39691,11.77398,112483764,82.0,4.9,119
85000000,8247,21.218,222231186,88.0,5.9,1799
85000000,11253,58.57976,160388063,120.0,6.5,1527
65000000,1949,51.970905,84785914,157.0,7.3,2023
82000000,8452,18.447479,96085477,123.0,5.7,595
80000000,310,109.684788,484572835,101.0,6.4,3012
80000000,27578,77.580661,274470394,103.0,6.0,2926
80000000,954,75.290998,457696359,110.0,6.7,2631
75000000,70160,68.550698,691210692,142.0,6.9,9455
80000000,45243,58.040149,254455986,102.0,6.2,3739
80000000,364,59.113174,280000000,126.0,6.6,1673
80000000,7518,36.32705,343397247,83.0,6.3,1074
80000000,11544,55.659988,145771527,85.0,7.1,1314
85000000,9986,14.132583,144000000,97.0,5.8,288
75000000,8656,34.070054,140464664,120.0,5.9,855
84000000,146216,44.34333,0,116.0,6.4,1526
82000000,9291,26.065735,190320568,113.0,6.2,785
75000000,55301,23.473004,342695435,87.0,5.4,484
80000000,109418,45.589568,246984278,100.0,5.8,1155
80000000,11665,23.496054,230685453,110.0,6.0,1051
80000000,6964,16.939441,266728738,128.0,6.3,410
80000000,11324,81.914696,294804195,138.0,7.8,6336
80000000,12193,19.500893,163733697,88.0,5.3,331
75000000,9928,29.558157,260696994,91.0,6.0,1333
80000000,754,46.075037,245676146,138.0,6.8,1583
80000000,10202,23.531721,212874442,99.0,5.9,901
80000000,4147,49.078546,181001478,117.0,7.3,1077
80000000,50546,37.02665,214918407,117.0,6.3,1543
75000000,1701,45.154631,224012234,115.0,6.5,1270
80000000,13027,46.887983,178066569,118.0,6.3,1018
79000000,2289,24.598479,173013509,154.0,6.7,533
80000000,20504,32.363538,157107755,118.0,6.6,2164
80000000,9574,11.50396,177977226,93.0,5.3,695
80000000,11618,19.375768,91188905,113.0,5.2,369
80000000,2300,36.125715,250200000,88.0,6.5,1288
0,12096,25.450534,0,93.0,5.6,550
80000000,10200,41.890722,233093859,104.0,5.2,1043
75000000,8834,22.179658,136982834,135.0,6.5,431
68000000,228150,139.575085,211817906,135.0,7.4,3946
70000000,6068,18.264635,164000000,98.0,5.6,332
80000000,41515,11.187696,201584141,80.0,5.2,220
80000000,9023,41.670544,122563539,83.0,7.4,831
80000000,38317,27.46264,169852759,102.0,5.3,498
80000000,2157,17.455024,136159423,130.0,5.0,388
80000000,14462,21.394281,96105964,129.0,6.2,393
0,161795,0.605645,0,117.0,8.0,1
80000000,159824,61.692197,473226958,89.0,6.7,1497
80000000,49948,14.530946,90874570,74.0,7.0,292
80000000,2135,25.978555,123729176,96.0,5.8,631
90000000,9822,6.643778,0,114.0,5.9,208
102000000,9705,36.788745,147080413,99.0,6.1,932
75000000,1656,31.054334,142400065,129.0,5.9,893
85000000,12159,21.891078,71485043,113.0,6.8,577
